"filename", "language", "Groovy", "Java", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbSweepResult.java", "Java", 0, 70, 3, 15, 88
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\OrthonormalFrame3d.java", "Java", 0, 256, 22, 31, 309
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\RigidPose.java", "Java", 0, 19, 1, 3, 23
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\Sphere3d.java", "Java", 0, 52, 8, 11, 71
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\network\BodyAttitudeRepresentation.java", "Java", 0, 24, 2, 5, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\network\BodyAttitudeWireValues.java", "Java", 0, 77, 5, 9, 91
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\protocol\BodyAttitudeProtocolLimits.java", "Java", 0, 5, 1, 3, 9
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\ArchitectureBoundaryTest.java", "Java", 0, 327, 0, 45, 372
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\api\math\Vec3dTest.java", "Java", 0, 88, 0, 19, 107
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\gravity\GravityFrameTest.java", "Java", 0, 177, 0, 23, 200
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\gravity\GravityStateTest.java", "Java", 0, 105, 0, 14, 119
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\gravity\collision\ImmutableVectorMigrationRegressionTest.java", "Java", 0, 239, 0, 32, 271
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\math\QuatdTest.java", "Java", 0, 253, 0, 40, 293
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\math\geometry\BodyOrientation3dTest.java", "Java", 0, 92, 0, 15, 107
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\math\geometry\GeometryKernelRegressionTest.java", "Java", 0, 111, 0, 18, 129
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\math\geometry\JomlDifferentialTest.java", "Java", 0, 235, 14, 31, 280
"d:\javaProjects\GravityEngine\common\src\test\java\cc\sighs\gravityengine\math\geometry\OrthonormalFrame3dTest.java", "Java", 0, 88, 0, 15, 103
"Total", "-", 27, 19861, 3972, 2850, 26710
